Brand,Model,Car_Age,Kilometers_Driven,Fuel_Type,Transmission,Owner_Count,Price,Estimated_Original_Price,Core_Systems_Score,Supporting_Systems_Score,Interiors_AC_Score,Exteriors_Lights_Score,Wear_Tear_Parts_Score
Kia,Seltos 1.4,6,80000,Petrol,Automatic (Dct),2,1030000,1729000,9.7,9.5,9,8.8,8.7
Volkswagen,Taigun Topline 1.0 Tsi Mt*,4,74000,Petrol,Manual (Regular),1,1019000,1540900,9.7,9.4,9.1,8.1,8.2
Hyundai,Creta 1.5 Ivt,4,102000,Petrol,Automatic (Cvt),1,1191000,1633000,9.6,9.3,8.6,8.4,8
Volkswagen,Taigun Topline 1.0 Tsi Mt*,4,50000,Petrol,Manual (Regular),1,1065000,1559900,9.6,9.7,8.7,9.1,8.5
Kia,Seltos 1.5,6,120000,Diesel,Automatic (Torque Convertor),2,1080000,1649000,9.6,9.1,7.6,8.1,8.5
Kia,Seltos 1.5,6,66000,Petrol,Manual (Regular),1,1006000,1334000,9.8,9.6,8.9,8.9,8.3
Kia,Seltos 1.4,7,106000,Petrol,Automatic (Dct),1,1005000,1669000,9.6,9.2,8.2,8,7.4
Mg,Motors Hector Sharp 1.5,4,64000,Petrol,Automatic (Cvt),1,1374000,1988800,9.8,9.6,9.3,9.3,8.3
Maruti,Suzuki Fronx 1.0L 6,3,88000,Petrol,Automatic (Torque Convertor),1,947000,1314000,9.7,9.4,8.5,7.9,7.3
Kia,Seltos 1.5,5,120000,Diesel,Automatic (Torque Convertor),1,1243000,1749000,9.5,8.5,8.2,8.7,8.6
Volkswagen,Taigun Highline 1.0 Tsi,4,62000,Petrol,Manual (Regular),1,949000,1549900,9.8,9.6,9.1,8.8,8.3
Volkswagen,Taigun Topline 1.0 Tsi Mt*,5,120000,Petrol,Manual (Regular),1,947000,1549900,9.3,9.2,7.6,8.1,7.4
Hyundai,Creta 1.5,6,52000,Diesel,Manual (Regular),2,1246000,1720000,9.7,9.5,9.3,8.9,8.5
Ford,Ecosport Titanium 1.5L Ti-Vct,10,111000,Petrol,Manual (Regular),1,509000,948500,9.6,9.2,8.3,8.1,8.6
Kia,Seltos 1.5*,4,47000,Petrol,Manual (Regular),1,1192000,1449000,9.8,9.6,8.9,8.6,8.4
Kia,Seltos 1.5,4,49000,Diesel,Automatic (Torque Convertor),2,1444000,1545000,9.8,9.6,9.4,9.1,8.2
Hyundai,Venue 1.2,1,6000,Petrol,Manual (Regular),1,1124000,1113000,10,10,9.9,9.7,9.6
Maruti,Suzuki S-Cross 1.3,9,95000,Diesel,Manual (Regular),1,581000,1045000,9.3,9.4,8.2,8.1,8
Nissan,Magnite Xv,4,32000,Petrol,Automatic (Cvt),1,807000,1000000,9.9,9.7,9.5,8.7,8.7
Kia,Sonet 1.2,3,11000,Petrol,Manual (Regular),1,846000,989000,9.9,9.9,9.8,9.6,9.4
Maruti,Suzuki Vitara Brezza Zdi+ Dual Tone,9,105000,Diesel,Manual (Regular),1,686000,991000,9.6,9.3,8.3,7.7,8.1
Kia,Sonet 1.5,5,46000,Diesel,Manual (Regular),1,917000,1039000,9.7,9.5,8.8,9,8.2
Hyundai,Alcazar Signature 6 Str 1.5 Diesel*,4,70000,Diesel,Manual (Regular),1,1451000,1965000,9.7,9.1,9,9,8.5
Kia,Seltos 1.5 Ivt,5,84000,Petrol,Automatic (Cvt),2,980000,1449000,9.7,9.4,8.7,8.4,7.4
Kia,Seltos 1.4,4,41000,Petrol,Automatic (Dct),1,1420000,1749000,9.6,9.6,9.4,8.8,8
