Name,Brand,Model,Variant,Make_Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Count,Insurance_Validity,Price,Core_Systems_Score,Supporting_Systems_Score,Interiors_AC_Score,Exteriors_Lights_Score,Wear_Tear_Parts_Score,Estimated_Original_Price
2025 Maruti Suzuki Fronx Alpha 1.0L Turbo 6 AT*,Maruti,Suzuki Fronx 1.0L 6 At*,ALPHA TURBO,May 2024,22K km,Petrol,Automatic (Torque Convertor),1st Owner,Nov 2026,11.09 Lakh,9.9,9.7,9.8,9.6,8.9,1304000
2018 Renault Captur RXL Diesel*,Renault,Captur Rxl Diesel*,,Nov 2017,95K km,Diesel (BSIV),Manual (Regular),1st Owner,Apr 2027,5.98 Lakh,9.3,9.3,7.5,8.1,8.4,1167000
2022 Renault Kiger RXZ Turbo CVT Dual Tone,Renault,Kiger Dual Tone,RXZ TURBO CVT,Jan 2022,45K km,Petrol (BSVI),Automatic (CVT),1st Owner,Apr 2027,7.55 Lakh,9.8,9.7,9.4,9.1,8.3,1062000
2023 Kia Seltos GTX Plus 1.5 Turbo Petrol DCT,Kia,Seltos 1.5,GTX PLUS TURBO PETROL DCT,Sep 2023,37K km,Petrol,Automatic (DCT),1st Owner,Sep 2026,16.58 Lakh,9.9,9.7,9.5,9.0,8.5,1979900
2024 Tata Punch Creative Flagship Dual Tone MT*,Tata,Punch Creative Flagship Dual Tone Mt*,,Dec 2023,32K km,Petrol,Manual (Regular),1st Owner,Dec 2026,8.14 Lakh,9.9,9.8,9.5,9.0,8.9,960000
2020 MG Motors Hector Sharp Hybrid 1.5 Petrol,Mg,Motors Hector Sharp Hybrid 1.5,PETROL,Oct 2020,80K km,Hybrid (BSVI),Manual (Regular),2nd Owner,Apr 2027,9.51 Lakh,9.7,9.5,8.2,8.8,8.1,1646000
2022 Mahindra XUV700 AX 7 Diesel MT Luxury Pack 7 STR,Mahindra,Xuv700 Ax 7 Luxury Pack 7 Str,DIESEL MT,May 2022,49K km,Diesel (BSVI),Manual (Regular),1st Owner,Jul 2026,19.34 Lakh,9.8,9.7,8.3,8.4,7.7,2159000
2022 Maruti Suzuki Brezza ZXI AT,Maruti,Suzuki Brezza,ZXI AT,Jul 2022,47K km,Petrol (BSVI),Automatic (Torque Convertor),1st Owner,Apr 2027,10.14 Lakh,9.8,9.7,8.6,8.7,7.9,1244000
2023 Maruti Suzuki Brezza ZXi Plus,Maruti,Suzuki Brezza,ZXI PLUS,Feb 2023,71K km,Petrol (BSVI),Manual (Regular),1st Owner,Apr 2027,10.08 Lakh,9.7,9.5,9.1,8.6,8.3,1248000
2022 Renault Kiger RXZ Turbo CVT Dual Tone,Renault,Kiger Dual Tone,RXZ TURBO CVT,Jun 2022,29K km,Petrol (BSVI),Automatic (CVT),1st Owner,Apr 2027,7.96 Lakh,9.8,9.7,9.2,8.9,8.5,1077000
2022 Maruti Suzuki Brezza ZXi Plus,Maruti,Suzuki Brezza,ZXI PLUS,Jun 2022,55K km,Petrol (BSVI),Manual (Regular),2nd Owner,Oct 2026,9.21 Lakh,9.8,9.6,9.0,8.6,8.3,1248000
2023 Mahindra XUV 300 W8 (O) 1.2 Petrol,Mahindra,Xuv 300 1.2,W8 (O) PETROL,Jul 2023,28K km,Petrol (BSVI),Manual (Regular),1st Owner,Apr 2027,9.90 Lakh,9.9,9.8,9.1,9.2,9.0,1315000
2018 Hyundai Creta SX 1.6 Petrol,Hyundai,Creta 1.6,SX PETROL,Nov 2018,49K km,Petrol (BSIV),Manual (Regular),2nd Owner,Nov 2026,8.22 Lakh,9.8,9.6,9.0,8.5,8.6,1199000
2018 Hyundai Creta SX 1.6 Petrol,Hyundai,Creta 1.6,SX PETROL,Aug 2018,100K km,Petrol (BSIV),Manual (Regular),1st Owner,Apr 2027,7.51 Lakh,9.6,9.3,8.6,8.5,8.5,1199000
2022 Tata Nexon XZA Plus (O) Diesel,Tata,Nexon,XZA PLUS (O) DIESEL,Mar 2022,32K km,Diesel (BSVI),Automatic (AMT),1st Owner,Apr 2027,10.89 Lakh,9.9,9.7,9.3,8.6,8.5,1324900
2020 Maruti Suzuki Vitara Brezza ZXi Plus AT SHVS,Maruti,Suzuki Vitara Brezza Shvs,ZXI PLUS AT,Feb 2020,68K km,Petrol,Automatic (Torque Convertor),1st Owner,Apr 2027,8.19 Lakh,9.5,9.4,8.3,8.1,8.1,1114000
2021 Renault Kiger RXZ AMT Dual Tone,Renault,Kiger Dual Tone,RXZ AMT,Feb 2021,21K km,Petrol (BSVI),Automatic (AMT),1st Owner,Sep 2026,6.17 Lakh,9.8,9.5,9.1,8.9,8.9,812000
2022 Renault Kiger RXZ 1.0 Turbo MT Dual Tone,Renault,Kiger 1.0 Dual Tone,RXZ TURBO MT,Jan 2022,45K km,Petrol (BSVI),Manual (Regular),1st Owner,Apr 2027,6.50 Lakh,9.8,9.7,9.1,9.2,8.3,952000
2022 Volkswagen Taigun Highline 1.0 TSI MT,Volkswagen,Taigun Highline 1.0 Tsi,MT,Jun 2022,18K km,Petrol (BSVI),Manual (Regular),1st Owner,Apr 2027,10.23 Lakh,9.9,9.9,9.4,9.2,9.1,1549900
2021 Maruti Suzuki Vitara Brezza VXi AT SHVS,Maruti,Suzuki Vitara Brezza Shvs,VXI AT,Jun 2021,37K km,Petrol (BSVI),Automatic (Torque Convertor),1st Owner,Apr 2027,8.25 Lakh,9.8,9.7,8.7,8.3,8.1,998000
2022 Maruti Suzuki Vitara Brezza ZXi Plus,Maruti,Suzuki Vitara Brezza,ZXI PLUS,Mar 2022,41K km,Petrol (BSVI),Manual (Regular),1st Owner,Mar 2027,8.80 Lakh,9.8,9.7,9.0,8.8,8.9,1198000
2017 Ford EcoSport Trend+ 1.5L TDCi,Ford,Ecosport Trend+ 1.5L,TDCI,May 2017,128K km,Diesel (BSIV),Manual (Regular),2nd Owner,Apr 2027,5.21 Lakh,9.5,9.0,8.1,7.9,8.4,874000
2025 Volkswagen Taigun Highline Plus 1.0 TSI MT*,Volkswagen,Taigun Highline 1.0 Tsi Mt*,PLUS,Oct 2024,11K km,Petrol,Manual (Regular),1st Owner,Apr 2027,13.16 Lakh,9.9,9.9,9.5,9.1,9.2,1542900
2023 Kia Sonet HTX 1.0 DCT,Kia,Sonet 1.0,HTX DCT,Mar 2023,50K km,Petrol,Automatic (DCT),1st Owner,Apr 2027,9.70 Lakh,9.6,9.5,9.3,8.5,8.4,1229000
2020 Kia Seltos GTX Plus DCT 1.4,Kia,Seltos 1.4,GTX PLUS DCT,Jan 2020,89K km,Petrol (BSVI),Automatic (DCT),2nd Owner,Apr 2027,10.18 Lakh,9.7,9.1,8.7,8.7,8.4,1729000
2022 Nissan Magnite XV Premium Turbo CVT,Nissan,Magnite Xv,PREMIUM TURBO CVT,Feb 2022,54K km,Petrol (BSVI),Automatic (CVT),1st Owner,Apr 2027,7.57 Lakh,9.8,9.5,8.8,8.8,8.0,1030000
2023 Hyundai Venue SX (O) 1.0 Turbo DCT,Hyundai,Venue 1.0,SX (O) TURBO DCT,Jun 2023,20K km,Petrol (BSVI),Automatic (DCT),1st Owner,Apr 2027,11.31 Lakh,9.9,9.9,9.7,9.5,8.7,1272000
2022 Tata Punch Creative Dual Tone AMT,Tata,Punch Creative Dual Tone,AMT,Jan 2022,27K km,Petrol (BSVI),Automatic (AMT),1st Owner,Apr 2027,7.59 Lakh,9.8,9.7,9.6,9.3,8.3,954900
2023 Mahindra XUV700 AX 7 Luxury Pack Diesel AT 7 STR,Mahindra,Xuv700 Ax 7 Luxury Pack 7 Str,DIESEL AT,Sep 2023,98K km,Diesel,Automatic (Torque Convertor),1st Owner,Apr 2027,19.71 Lakh,9.5,9.4,8.3,8.4,8.0,2495000
2023 Nissan Magnite XV Premium Turbo CVT,Nissan,Magnite Xv,PREMIUM TURBO CVT,Aug 2023,37K km,Petrol (BSIV),Automatic (CVT),1st Owner,Nov 2026,8.58 Lakh,9.9,9.7,9.6,9.6,8.5,1086000
2020 Hyundai Creta SX (O) 1.4 Turbo 7 DCT,Hyundai,Creta 1.4 7,SX (O) TURBO DCT,Sep 2020,107K km,Petrol,Automatic (DCT),1st Owner,Apr 2027,10.78 Lakh,9.6,9.2,8.0,8.3,7.5,1720000
2022 Mahindra XUV700 AX 5 Petrol AT 5 STR,Mahindra,Xuv700 Ax 5 5 Str,PETROL AT,Mar 2022,113K km,Petrol (BSVI),Automatic (Torque Convertor),1st Owner,Apr 2027,14.36 Lakh,9.6,9.1,8.5,8.5,8.2,1839000
2023 Hyundai Creta SX (O) 1.4 Turbo 7 DCT*,Hyundai,Creta 1.4 7 Dct*,SX (O) TURBO,Dec 2022,43K km,Petrol (BSVI),Automatic (DCT),1st Owner,Apr 2027,14.49 Lakh,9.8,9.6,8.8,8.9,8.3,1787000
2018 Mahindra KUV100 NXT K2 6 STR,Mahindra,Kuv100 Nxt K2 6 Str,,Jun 2018,36K km,Petrol (BSIV),Manual (Regular),1st Owner,Apr 2027,3.51 Lakh,9.7,9.3,7.8,8.6,8.2,439000
2018 Maruti Suzuki S-Cross Zeta 1.3,Maruti,Suzuki S-Cross 1.3,ZETA,Jul 2018,66K km,Diesel (BSIV),Manual (Regular),1st Owner,Apr 2027,7.35 Lakh,9.7,9.6,8.9,8.2,8.0,998000
2020 Kia Seltos HTX 1.5,Kia,Seltos 1.5,HTX,Aug 2020,101K km,Petrol (BSVI),Manual (Regular),1st Owner,Oct 2026,8.21 Lakh,9.4,9.3,8.0,7.6,8.2,1334000
2021 Mahindra XUV 300 W8 (O) 1.2 Petrol*,Mahindra,Xuv 300 1.2 Petrol*,W8 (O),Oct 2022,37K km,Petrol (BSIV),Manual (Regular),1st Owner,Apr 2027,8.97 Lakh,9.9,9.8,9.2,8.4,8.9,1221000
2022 Hyundai Alcazar Signature (O) 7 Seater 1.5 Diesel AT,Hyundai,Alcazar Signature 7 Seater 1.5,(O) DIESEL AT,Mar 2022,64K km,Diesel (BSIV),Automatic (Torque Convertor),1st Owner,Apr 2027,15.37 Lakh,9.2,8.7,8.7,8.5,8.2,2110000
2023 Maruti Suzuki Grand Vitara Alpha Smart Hybrid AllGrip*,Maruti,Suzuki Grand Vitara Smart Hybrid Allgrip*,ALPHA,Oct 2022,59K km,Petrol (BSVI),Manual (Regular),2nd Owner,Apr 2027,12.14 Lakh,9.8,9.6,9.0,9.2,8.5,1689000
2023 Hyundai Alcazar Platinum 7 STR 1.5 Diesel,Hyundai,Alcazar Platinum 7 Str 1.5,DIESEL,May 2023,25K km,Diesel,Manual (Regular),1st Owner,Apr 2027,16.73 Lakh,9.9,9.7,9.6,9.5,9.0,2113000
2020 MG Motors Hector Sharp 2.0 Diesel,Mg,Motors Hector Sharp 2.0,DIESEL,May 2020,93K km,Diesel (BSVI),Manual (Regular),1st Owner,Apr 2027,10.74 Lakh,9.5,9.1,8.7,8.5,7.3,1728000
2021 Hyundai Creta SX (O) 1.4 Turbo 7 DCT,Hyundai,Creta 1.4 7,SX (O) TURBO DCT,Apr 2021,54K km,Petrol,Automatic (DCT),1st Owner,Apr 2027,13.41 Lakh,9.8,9.5,8.0,8.1,8.1,1782000
2016 Hyundai Creta 1.6 SX Plus Petrol,Hyundai,Creta 1.6,SX PLUS PETROL,Mar 2016,112K km,Petrol (BSIV),Manual (Regular),1st Owner,Apr 2027,6.54 Lakh,9.6,9.1,7.9,7.7,8.9,1119000
2022 Hyundai Creta SX 1.5 Petrol IVT,Hyundai,Creta 1.5 Ivt,SX PETROL,Aug 2022,93K km,Petrol (BSVI),Automatic (CVT),1st Owner,Apr 2027,11.84 Lakh,9.7,9.4,8.9,8.7,8.2,1558000
2022 Kia Seltos GTX Plus 1.4 DCT,Kia,Seltos 1.4,GTX PLUS DCT,Jul 2022,47K km,Petrol (BSIV),Automatic (DCT),1st Owner,Oct 2026,13.83 Lakh,9.8,9.6,9.3,8.8,8.2,1749000
2021 Ford EcoSport Titanium Plus 1.5L Ti-VCT AT,Ford,Ecosport Titanium 1.5L Ti-Vct,PLUS AT,Jan 2021,61K km,Petrol (BSVI),Automatic (Torque Convertor),1st Owner,Apr 2027,8.23 Lakh,9.8,9.6,9.0,8.9,7.9,1171000
2023 Kia Sonet X Line 1.5 Diesel AT,Kia,Sonet X Line 1.5,DIESEL AT,Jun 2023,35K km,Diesel (BSVI),Automatic (Torque Convertor),1st Owner,Apr 2027,12.92 Lakh,9.8,9.8,9.3,9.3,8.8,1489000
2021 MG Motors Hector Plus Sharp 2.0 Diesel*,Mg,Motors Hector Sharp 2.0 Diesel*,PLUS,Oct 2020,57K km,Diesel (BSVI),Manual (Regular),1st Owner,Dec 2026,12.33 Lakh,9.8,9.4,9.2,9.0,8.5,1728000
2022 Honda WR-V VX MT Petrol,Honda,Wr-V Vx,MT PETROL,Sep 2022,21K km,Petrol (BSVI),Manual (Regular),1st Owner,Jan 2027,7.82 Lakh,9.9,9.8,9.0,9.0,8.8,1037000
2023 Nissan Magnite XV Premium Dual Tone,Nissan,Magnite Xv Dual Tone,PREMIUM,Jan 2023,70K km,Petrol (BSVI),Manual (Regular),1st Owner,Apr 2027,6.40 Lakh,9.7,9.3,8.2,8.5,7.9,875000
2016 Maruti Suzuki S-Cross Alpha 1.6,Maruti,Suzuki S-Cross 1.6,ALPHA,May 2016,100K km,Diesel (BSIV),Manual (Regular),2nd Owner,Apr 2027,5.79 Lakh,9.5,9.1,7.7,7.8,8.4,1203000
2018 Mahindra XUV500 W11 AT,Mahindra,Xuv500 W11,AT,May 2018,102K km,Diesel (BSIV),Automatic (Torque Convertor),1st Owner,Apr 2027,11.45 Lakh,9.3,9.2,8.1,7.6,7.6,1898000
2023 Skoda Kushaq Ambition 1.0L TSI MT,Skoda,Kushaq Ambition 1.0L Tsi,MT,Jan 2023,25K km,Petrol (BSVI),Manual (Regular),2nd Owner,Apr 2027,10.10 Lakh,9.9,9.8,9.4,9.4,9.0,1199000
2017 Hyundai Creta SX Plus 1.6 Petrol,Hyundai,Creta 1.6,SX PLUS PETROL,Sep 2017,123K km,Petrol,Manual (Regular),1st Owner,Apr 2027,6.65 Lakh,9.5,9.1,7.6,7.7,8.8,1208000
2025 Renault Kiger RXZ Turbo CVT Dual Tone*,Renault,Kiger Dual Tone*,RXZ TURBO CVT,Oct 2022,23K km,Petrol (BSVI),Automatic (CVT),1st Owner,Apr 2027,7.55 Lakh,9.3,9.6,9.2,9.5,8.0,1062000
2023 Maruti Suzuki Brezza Zxi Plus AT Dual Tone,Maruti,Suzuki Brezza Dual Tone,ZXI PLUS AT,Jun 2023,41K km,Petrol (BSVI),Automatic (Torque Convertor),1st Owner,Apr 2027,11.33 Lakh,9.8,9.6,9.2,9.1,8.3,1414000
2023 Hyundai Creta EX 1.5 Petrol,Hyundai,Creta Ex 1.5,PETROL,Sep 2023,15K km,Petrol,Manual (Regular),1st Owner,Apr 2027,11.08 Lakh,9.9,9.9,9.5,9.4,9.3,1087000
2013 Ford EcoSport Ambiente 1.5 TDCi,Ford,Ecosport Ambiente 1.5,TDCI,Jul 2013,117K km,Diesel (BSIV),Manual (Regular),1st Owner,Apr 2027,3.88 Lakh,9.4,8.9,8.0,7.7,8.7,668700
2024 Mahindra Thar LX Hard Top Diesel MT 4WD,Mahindra,Thar Lx Hard 4Wd,TOP DIESEL MT,Feb 2024,15K km,Diesel (BSIV),Manual (Regular),1st Owner,Feb 2027,15.40 Lakh,9.9,9.9,9.7,9.5,9.4,1660000
2023 Kia Sonet HTX 1.5 Diesel iMT,Kia,Sonet 1.5 Imt,HTX DIESEL,Apr 2023,28K km,Diesel (BSVI),Manual (Regular),1st Owner,Apr 2027,9.89 Lakh,9.9,9.8,9.6,9.3,9.1,1195000
2024 Maruti Suzuki Grand Vitara Zeta Plus Intelligent Hybrid eCVT,Maruti,Suzuki Grand Vitara Intelligent Hybrid Ecvt,ZETA PLUS,Feb 2024,24K km,Hybrid (BSVI),Automatic (CVT),1st Owner,Apr 2027,16.56 Lakh,9.9,9.7,9.7,9.1,8.9,1833000
2023 Mahindra Scorpio N Z8 L Petrol AT 7 STR,Mahindra,Scorpio N Z8 L 7 Str,PETROL AT,Feb 2023,55K km,Petrol (BSIV),Automatic (Torque Convertor),1st Owner,Apr 2027,18.21 Lakh,9.8,9.6,9.4,9.1,8.1,2156000
2023 MG Motors Hector Plus Sharp Pro 2.0 Turbo Diesel 6 STR,Mg,Motors Hector Sharp Pro 2.0 6 Str,PLUS TURBO DIESEL,Jan 2023,26K km,Diesel (BSVI),Manual (Regular),1st Owner,Apr 2027,18.55 Lakh,9.9,9.8,9.6,9.5,8.8,2242800
2023 Hyundai Alcazar Signature (O) 6 STR 1.5 Petrol DCT,Hyundai,Alcazar Signature 6 Str 1.5,(O) PETROL DCT,Apr 2023,30K km,Petrol (BSVI),Automatic (DCT),1st Owner,Apr 2027,17.91 Lakh,9.9,9.7,9.4,9.1,8.6,2065000
2021 Skoda Kushaq Ambition 1.0L TSI AT,Skoda,Kushaq Ambition 1.0L Tsi,AT,Aug 2021,112K km,Petrol (BSIV),Automatic (Torque Convertor),1st Owner,Apr 2027,9.05 Lakh,9.6,9.2,8.1,8.2,8.2,1419000
2021 Mahindra XUV700 AX 5 Petrol AT 5 STR,Mahindra,Xuv700 Ax 5 5 Str,PETROL AT,Oct 2021,95K km,Petrol (BSVI),Automatic (Torque Convertor),1st Owner,Nov 2026,13.52 Lakh,9.7,9.3,8.5,8.5,8.8,1719000
2022 Renault Kiger RXZ AMT,Renault,Kiger,RXZ AMT,Jan 2022,89K km,Petrol (BSVI),Automatic (AMT),1st Owner,Aug 2026,5.57 Lakh,9.4,8.9,8.6,8.8,8.5,800000
2023 Mahindra XUV700 AX 5 Diesel MT 5 STR,Mahindra,Xuv700 Ax 5 5 Str,DIESEL MT,May 2023,54K km,Diesel,Manual (Regular),1st Owner,Apr 2027,15.97 Lakh,9.8,9.6,9.2,9.1,8.7,1684800
2022 Hyundai Tucson Signature 2.0 AT Petrol,Hyundai,Tucson Signature 2.0,AT PETROL,Nov 2022,19K km,Petrol (BSVI),Automatic (Torque Convertor),1st Owner,Apr 2027,24.51 Lakh,9.9,9.9,9.7,9.5,8.8,2856000
2022 Tata Punch Creative Dual Tone AMT,Tata,Punch Creative Dual Tone,AMT,Aug 2022,16K km,Petrol (BSVI),Automatic (AMT),1st Owner,Feb 2027,7.70 Lakh,9.9,9.8,9.2,9.5,9.3,954900
2020 MG Motors Hector Super 1.5 Petrol*,Mg,Motors Hector Super 1.5 Petrol*,,Nov 2019,45K km,Petrol (BSVI),Manual (Regular),1st Owner,Apr 2027,10.11 Lakh,9.8,9.5,9.2,8.6,8.5,1218000
2022 Kia Seltos GTX Plus 1.5 Diesel AT Dual Tone,Kia,Seltos 1.5 Dual Tone,GTX PLUS DIESEL AT,Jan 2022,58K km,Diesel (BSVI),Automatic (Torque Convertor),1st Owner,Apr 2027,14.59 Lakh,9.6,9.2,8.7,9.0,8.4,1845000
2023 Renault Kiger RXZ MT,Renault,Kiger,RXZ MT,Feb 2023,21K km,Petrol,Manual (Regular),1st Owner,Apr 2027,6.52 Lakh,9.8,9.7,9.6,9.1,8.9,999000
2020 Renault Duster RXZ Turbo Petrol,Renault,Duster,RXZ TURBO PETROL,Oct 2020,46K km,Petrol (BSVI),Manual (Regular),1st Owner,Apr 2027,7.48 Lakh,9.8,9.7,9.0,8.9,8.6,1359000
2018 Maruti Suzuki Vitara Brezza ZDi AGS,Maruti,Suzuki Vitara Brezza Zdi Ags,,Sep 2018,125K km,Diesel (BSIV),Automatic (AMT),1st Owner,Apr 2027,6.31 Lakh,9.1,7.7,7.4,7.8,8.0,975000
2016 Maruti Suzuki S-Cross Delta 1.6*,Maruti,Suzuki S-Cross 1.6*,DELTA,Jul 2015,131K km,Diesel (BSIV),Manual (Regular),2nd Owner,Apr 2027,4.45 Lakh,9.0,8.8,7.7,6.9,8.4,1199000
2023 Mahindra Thar LX Hard Top Diesel AT 4WD,Mahindra,Thar Lx Hard 4Wd,TOP DIESEL AT,Jan 2023,44K km,Diesel (BSVI),Automatic (Torque Convertor),1st Owner,Apr 2027,13.71 Lakh,9.8,9.7,9.4,9.5,8.5,1685000
2017 Hyundai Creta 1.6 SX Plus Auto Petrol*,Hyundai,Creta 1.6 Auto Petrol*,SX PLUS,Oct 2016,110K km,Petrol (BSIV),Automatic (Torque Convertor),1st Owner,Apr 2027,7.32 Lakh,9.5,9.0,8.5,8.0,8.1,1357000
2019 Honda WR-V VX i-VTEC Petrol+cng(Outside Fitted),Honda,Wr-V Vx I-Vtec Petrol+Cng(Outside Fitted),,Feb 2019,46K km,Cng (BSIV),Manual (Regular),1st Owner,Apr 2027,6.31 Lakh,9.8,9.5,8.7,8.6,8.0,975000
2018 Mahindra TUV300 T4 Plus,Mahindra,Tuv300 T4,PLUS,Aug 2018,95K km,Diesel (BSIV),Manual (Regular),1st Owner,Apr 2027,5.74 Lakh,9.7,9.4,8.7,8.9,8.8,817000
2024 Hyundai Creta S Plus 1.5 Diesel Knight*,Hyundai,Creta S 1.5 Knight*,PLUS DIESEL,Nov 2023,26K km,Diesel (BSVI),Manual (Regular),1st Owner,Apr 2027,14.36 Lakh,9.9,9.8,9.3,9.4,8.8,1450800
2024 Tata Nexon EV Empowered Plus Long Range,Tata,Nexon Ev Empowered Long Range,PLUS,Jan 2024,19K km,Electric (BSVI),Automatic,1st Owner,Apr 2027,11.59 Lakh,,,,,,1929000
2022 Kia Sonet Anniversary Edition 1.5 AT*,Kia,Sonet Anniversary 1.5 At*,EDITION,Dec 2021,46K km,Diesel (BSVI),Automatic (Torque Convertor),1st Owner,Dec 2026,9.87 Lakh,9.8,8.6,9.1,7.6,8.1,1176000
2022 Maruti Suzuki Brezza Zxi Dual Tone,Maruti,Suzuki Brezza Dual Tone,ZXI,Sep 2022,40K km,Petrol (BSVI),Manual (Regular),1st Owner,Apr 2027,9.01 Lakh,9.8,9.7,9.2,9.1,8.6,1114000
2019 Hyundai Venue SX Plus 1.0 Turbo DCT,Hyundai,Venue 1.0,SX PLUS TURBO DCT,Sep 2019,66K km,Petrol (BSIV),Automatic (DCT),1st Owner,Sep 2026,7.69 Lakh,9.8,9.5,7.8,8.1,8.0,1110000
2025 Tata Punch EV Empowered Plus S long Range*,Tata,Punch Ev Empowered S Long Range*,PLUS,Dec 2024,27K km,Electric,Automatic,1st Owner,Apr 2027,9.41 Lakh,,,,,,1449000
2019 Ford EcoSport Titanium 1.5L TDCi,Ford,Ecosport Titanium 1.5L,TDCI,May 2019,105K km,Diesel (BSIV),Manual (Regular),3rd Owner,Apr 2027,5.19 Lakh,9.2,8.8,8.6,8.3,7.5,1067000
2021 Mahindra Thar LX Hard Top Diesel MT 4WD,Mahindra,Thar Lx Hard 4Wd,TOP DIESEL MT,Apr 2021,52K km,Diesel (BSIV),Manual (Regular),1st Owner,Apr 2027,11.39 Lakh,9.8,9.7,9.1,8.8,8.5,1376000
2019 Tata Nexon XZ Plus Diesel Dual Tone,Tata,Nexon Dual Tone,XZ PLUS DIESEL,Jan 2019,59K km,Diesel (BSIV),Manual (Regular),1st Owner,Apr 2027,7.30 Lakh,9.7,9.2,8.5,8.4,8.3,1090000
2023 Kia Sonet HTX 1.0 Turbo Petrol DCT,Kia,Sonet 1.0,HTX TURBO PETROL DCT,Sep 2023,15K km,Petrol (BSVI),Automatic (DCT),2nd Owner,Oct 2026,9.97 Lakh,9.9,9.8,9.4,8.9,8.7,1229000
2022 Tata Nexon EV XZ Plus LUX*,Tata,Nexon Ev Lux*,XZ PLUS,Oct 2021,86K km,Electric (BSIV),Automatic,1st Owner,,7.91 Lakh,,,,,,1665000
2022 Kia Seltos HTX Plus 1.5 Diesel,Kia,Seltos 1.5,HTX PLUS DIESEL,Jan 2022,103K km,Diesel (BSVI),Manual (Regular),1st Owner,Jan 2027,12.07 Lakh,9.5,9.2,8.2,8.1,8.2,1539000
2022 Mahindra XUV700 AX 7 Diesel MT Luxury Pack 7 STR,Mahindra,Xuv700 Ax 7 Luxury Pack 7 Str,DIESEL MT,Feb 2022,72K km,Diesel (BSVI),Manual (Regular),1st Owner,Apr 2027,18.32 Lakh,9.7,9.5,9.1,8.9,8.7,2159000
2023 Tata Punch Creative AMT*,Tata,Punch Creative Amt*,,Nov 2022,50K km,Petrol (BSVI),Automatic (AMT),1st Owner,Jan 2027,6.78 Lakh,9.7,9.6,9.1,9.0,7.9,849900
2021 Mahindra Thar LX Hard Top Diesel AT 4WD,Mahindra,Thar Lx Hard 4Wd,TOP DIESEL AT,Apr 2021,60K km,Diesel (BSVI),Automatic (Torque Convertor),2nd Owner,Apr 2027,11.72 Lakh,9.6,9.6,9.0,8.4,7.8,1415000
2018 Ford EcoSport Trend 1.5L TDCi,Ford,Ecosport Trend 1.5L,TDCI,Oct 2018,53K km,Diesel,Manual (Regular),1st Owner,Jan 2027,6.59 Lakh,9.8,9.6,9.0,9.0,8.6,999900
2014 Ford EcoSport Trend 1.5 TDCi*,Ford,Ecosport Trend 1.5 Tdci*,,Dec 2013,129K km,Diesel (BSIV),Manual (Regular),3rd Owner,Apr 2027,3.06 Lakh,9.5,8.3,7.3,7.2,7.4,780000
2020 Hyundai Venue SX Plus 1.0 Turbo DCT*,Hyundai,Venue 1.0 Dct*,SX PLUS TURBO,Nov 2019,65K km,Petrol (BSIV),Automatic (DCT),1st Owner,Dec 2026,7.44 Lakh,9.7,9.6,8.9,8.2,7.8,1111000
2024 Hyundai Creta 1.5 MPi Petrol MT EX,Hyundai,Creta 1.5 Mpi Ex,PETROL MT,Aug 2024,11K km,Petrol (BSVI),Manual (Regular),1st Owner,Oct 2026,11.50 Lakh,9.9,9.9,9.5,9.0,9.5,1099900
2021 Tata Nexon XE,Tata,Nexon,XE,Jun 2021,58K km,Petrol,Manual (Regular),1st Owner,Apr 2027,5.40 Lakh,9.2,9.1,8.3,8.1,8.5,719900
2021 Hyundai Alcazar Signature (O) 6 STR 1.5 Diesel AT,Hyundai,Alcazar Signature 6 Str 1.5,(O) DIESEL AT,Jul 2021,67K km,Diesel (BSVI),Automatic (Torque Convertor),1st Owner,Aug 2026,14.46 Lakh,9.6,9.5,8.9,8.3,8.1,2014500
2021 Nissan Magnite XV Dual Tone,Nissan,Magnite Xv Dual Tone,,May 2021,28K km,Petrol (BSVI),Manual (Regular),2nd Owner,Apr 2027,5.54 Lakh,9.9,9.8,9.4,8.7,8.7,709000
2022 Hyundai Venue SX 1.2 Petrol,Hyundai,Venue 1.2,SX PETROL,Jun 2022,27K km,Petrol (BSVI),Manual (Regular),1st Owner,Apr 2027,8.69 Lakh,9.9,9.8,9.1,9.0,8.6,989000
2020 Kia Seltos GTX Plus AT 1.5 Diesel,Kia,Seltos 1.5,GTX PLUS AT DIESEL,Jan 2020,66K km,Diesel (BSVI),Automatic (Torque Convertor),1st Owner,Feb 2027,13.02 Lakh,9.6,9.5,8.9,8.2,8.3,1659000
2022 Mahindra Thar LX Hard Top Diesel AT 4WD,Mahindra,Thar Lx Hard 4Wd,TOP DIESEL AT,Jul 2022,70K km,Diesel (BSVI),Automatic (Torque Convertor),1st Owner,Apr 2027,12.69 Lakh,9.7,9.5,9.2,9.2,7.8,1415000
2020 MG Motors Hector Sharp 1.5 DCT Petrol,Mg,Motors Hector Sharp 1.5,DCT PETROL,Mar 2020,41K km,Petrol (BSVI),Automatic (DCT),1st Owner,Apr 2027,11.73 Lakh,9.8,9.7,9.0,9.0,8.2,1728000
2016 Ford EcoSport Trend 1.5 TDCi*,Ford,Ecosport Trend 1.5 Tdci*,,Aug 2015,97K km,Diesel (BSIV),Manual (Regular),2nd Owner,Dec 2026,4.38 Lakh,9.6,9.2,8.1,8.2,8.2,860000
