Name,Make_Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Count,Insurance_Validity,Price,Core_Systems_Score,Supporting_Systems_Score,Interiors_AC_Score,Exteriors_Lights_Score,Wear_Tear_Parts_Score
2023 Hyundai Venue SX 1.2 Petrol,Jun-23,36K km,Petrol,Manual (Regular),1st Owner,Apr-27,8.92 Lakh,9.9,9.8,8.9,8.7,8.1
2022 Maruti Suzuki Brezza Zxi Plus Dual Tone,May-22,123K km,Petrol (BSVI),Manual (Regular),1st Owner,Apr-27,8.82 Lakh,9.6,9.2,8,8.2,8.1
2018 Honda BR-V S Diesel,Jan-18,79K km,Diesel (BSIV),Manual (Regular),2nd Owner,Apr-27,6.55 Lakh,9.6,9.2,8.3,6.3,8.2
2024 Tata Punch Creative Dual Tone AMT Sunroof,Apr-24,19K km,Petrol,Automatic (AMT),1st Owner,Apr-27,8.76 Lakh,9.9,9.8,9.2,9.2,8.8
2023 Mahindra XUV700 AX 7 Diesel MT Luxury Pack 7 STR*,Nov-22,54K km,Diesel (BSVI),Manual (Regular),1st Owner,Nov-26,18.59 Lakh,9.8,9.6,9,9,8.4
2023 Maruti Suzuki Brezza Zxi Plus Dual Tone,Feb-23,36K km,Petrol (BSVI),Manual (Regular),1st Owner,Apr-27,10.14 Lakh,9.9,9.8,9.4,8.9,8.7
2020 Hyundai Creta SX (O) 1.4 Turbo 7 DCT,Sep-20,92K km,Petrol,Automatic (DCT),1st Owner,Apr-27,10.86 Lakh,9.6,9.1,8.9,8.6,8.2
2015 Hyundai Creta 1.6 SX Plus Petrol,Aug-15,104K km,Petrol,Manual (Regular),1st Owner,Oct-26,6.41 Lakh,9.6,9.2,7.4,8.2,8.8
2019 Ford EcoSport Titanium 1.5L Ti-VCT,N/A,N/A,N/A,N/A,N/A,N/A,6.93 Lakh,N/A,N/A,N/A,N/A,N/A
2023 Hyundai Venue SX (O) 1.0 Turbo DCT,May-23,55K km,Petrol (BSVI),Automatic (DCT),1st Owner,Apr-27,10.32 Lakh,9.7,9.6,9.4,9,7.5
2016 Hyundai Creta 1.6 SX (O),Jun-16,107K km,Diesel (BSIV),Manual (Regular),2nd Owner,Aug-26,7.55 Lakh,9.4,8.9,7.1,7.4,8.6
2023 Hyundai Alcazar Signature 6 STR 1.5 Diesel*,May-22,82K km,Diesel (BSVI),Manual (Regular),1st Owner,Apr-27,14.42 Lakh,9.7,9.5,9,8.5,8.9
2023 Maruti Suzuki Brezza ZXi Plus,Jul-23,36K km,Petrol (BSIV),Manual (Regular),1st Owner,Apr-27,10.30 Lakh,9.9,9.8,9.5,9.4,8.8
2023 Mahindra XUV 300 W6 1.2 Petrol AMT,Jul-23,14K km,Petrol (BSVI),Automatic (AMT),1st Owner,Apr-27,9.04 Lakh,9.9,9.7,9.4,9.2,9
2025 Tata Punch Creative Plus AMT*,Dec-24,10K km,Petrol,Automatic (AMT),1st Owner,Apr-27,8.42 Lakh,9.9,9.9,8.1,9.8,9.3
2019 Hyundai Creta SX 1.6 Petrol,Mar-19,76K km,Petrol (BSIV),Manual (Regular),1st Owner,Apr-27,8.21 Lakh,9.7,9.5,8.7,8.4,8.4
2018 Tata Nexon XZA Plus AMT Petrol,Aug-18,116K km,Petrol (BSIV),Automatic (AMT),1st Owner,Apr-27,6 Lakh,9.4,9.1,8.6,8.2,7.2
2025 Tata Curvv Creative Plus S 1.5 Kryojet Diesel 6MT*,Aug-24,19K km,Diesel (BSVI),Manual (Regular),1st Owner,Apr-27,14.54 Lakh,9.9,9.9,9.4,9.3,9.3
