Name,Make_Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Count,Insurance_Validity,Price,Core_Systems_Score,Supporting_Systems_Score,Interiors_AC_Score,Exteriors_Lights_Score,Wear_Tear_Parts_Score
2018 Renault Duster 110 PS RXZ 4X2 MT Diesel,Oct-18,86K km,Diesel,Manual (Regular),1st Owner,Nov-26,6.55 Lakh,9.6,9.2,8.3,8.6,8.2
2019 Kia Seltos GTX Plus 1.4,Aug-19,64K km,Petrol (BSIV),Manual (Regular),1st Owner,Sep-26,10.70 Lakh,9.8,9.4,9,8.6,8
2022 MG Motors Hector Plus Sharp 1.5 Petrol Turbo CVT 6-STR,Mar-22,62K km,Petrol (BSVI),Automatic (DCT),1st Owner,Apr-27,14.46 Lakh,9.7,9.3,8.9,8.1,8.4
2024 Maruti Suzuki Fronx Alpha 1.0L Turbo MT*,Apr-23,12K km,Petrol,Manual (Regular),1st Owner,Dec-26,9.98 Lakh,9.9,9.9,9.8,9.2,9.2
2019 Hyundai Creta SX 1.6 AT CRDi*,Nov-18,92K km,Diesel (BSIV),Automatic (Torque Convertor),1st Owner,Feb-27,9.97 Lakh,9.5,8.9,8.3,7.7,8
2020 Kia Seltos HTX 1.5,Aug-20,46K km,Petrol (BSVI),Manual (Regular),1st Owner,Sep-28,10.12 Lakh,9.8,9.6,8.6,8.4,8.3
2023 Kia Seltos GTX Plus 1.4,Jan-23,49K km,Petrol (BSVI),Manual (Regular),1st Owner,Apr-27,14.49 Lakh,9.8,9.7,9.1,8.4,8.2
2022 Volkswagen Taigun Highline 1.0 TSI MT,Feb-22,64K km,Petrol (BSVI),Manual (Regular),1st Owner,Apr-27,9.47 Lakh,9.8,9.6,9.2,8.5,8.4
2019 Kia Seltos GTX DCT 1.4 Dual Tone,Aug-19,37K km,Petrol (BSIV),Automatic (DCT),1st Owner,Apr-27,11.20 Lakh,9.9,9.6,8.7,8.1,7.9
2018 Hyundai Creta SX 1.6 (O) Petrol,May-18,48K km,Petrol (BSIV),Manual (Regular),1st Owner,Apr-27,9.49 Lakh,9.8,9.7,8.8,8.4,8.2
2020 Kia Seltos HTX Plus AT 1.5 Diesel,Jan-20,112K km,Diesel,Automatic (Torque Convertor),1st Owner,Apr-27,10.42 Lakh,9.5,8.9,7.2,7.6,7.9
2023 Kia Sonet HTK Plus 1.5,Feb-23,57K km,Diesel (BSVI),Manual (Regular),1st Owner,Apr-27,9.45 Lakh,9.7,8.8,9.1,9.1,8.1
2023 Tata Nexon XM Plus (S) Diesel,Jan-23,49K km,Diesel (BSVI),Manual (Regular),1st Owner,Feb-27,9.26 Lakh,9.8,9.7,8.9,8.4,8.6
2023 Honda Elevate VX MT,Sep-23,40K km,Petrol (BSVI),Manual (Regular),1st Owner,Sep-26,11.01 Lakh,9.8,9.7,9.2,9.1,8.2
2022 Renault Kiger RXZ MT,May-22,93K km,Petrol (BSVI),Manual (Regular),1st Owner,Apr-27,5.67 Lakh,9.7,9.3,8.3,8.2,8.1
2022 Mahindra XUV 300 W8 (O) 1.5 Diesel,Jul-22,47K km,Diesel (BSVI),Manual (Regular),1st Owner,Feb-27,10.17 Lakh,9.8,8.8,8.9,8.8,8.5
2023 Volkswagen Taigun Highline 1.0 TSI MT,Jul-23,18K km,Petrol (BSVI),Manual (Regular),1st Owner,Apr-27,11.13 Lakh,9.9,9.9,9.7,9.2,9.2
2022 Skoda Kushaq Style 1.5L TSI DSG,Jun-22,102K km,Petrol (BSIV),Automatic (DSG),2nd Owner,Apr-27,11.44 Lakh,9.6,9.2,8.6,8.6,8.3
2022 Kia Seltos HTX 1.5 Diesel,Apr-22,99K km,Diesel (BSVI),Manual (Regular),1st Owner,Apr-27,11.49 Lakh,9.4,9.1,8.3,8.6,8.4
2023 Maruti Suzuki Grand Vitara Alpha Smart Hybrid*,Oct-22,94K km,Petrol (BSVI),Manual (Regular),1st Owner,Apr-27,11.15 Lakh,9.7,9.4,8.9,8.2,8.3
2022 MG Motors Hector Plus Sharp 1.5 Petrol Turbo CVT 6-STR,Aug-22,39K km,Petrol (BSIV),Automatic (DCT),1st Owner,Sep-26,15.33 Lakh,9.8,9.7,9.2,9.1,8.5
2021 Tata Nexon XZA Plus (S),Jan-21,63K km,Petrol (BSVI),Automatic (AMT),1st Owner,Jan-27,8.34 Lakh,9.5,9,8.6,8.7,8.1
2020 Maruti Suzuki Vitara Brezza ZXi Plus,Jun-20,67K km,Petrol (BSVI),Manual (Regular),2nd Owner,Apr-27,6.81 Lakh,9.8,9.6,9,8.3,8.2
2025 Mahindra Thar Roxx AX7 L Petrol AT 2WD,Mar-25,5K km,Petrol,Automatic (Torque Convertor),1st Owner,Apr-27,21.02 Lakh,10,9.9,9.9,9.8,9.5
2022 Mahindra XUV700 AX 7 Diesel AT Luxury Pack 7 STR,May-22,44K km,Diesel (BSVI),Automatic (Torque Convertor),1st Owner,Apr-27,20.24 Lakh,9.8,9.7,9.2,8.8,8.8
2022 Tata Nexon XZ Plus Diesel,Jul-22,105K km,Diesel (BSVI),Manual (Regular),1st Owner,Apr-27,8.33 Lakh,9.3,8.4,8.5,7.8,8.6
2020 Kia Seltos GTX Plus 1.4,Aug-20,97K km,Petrol (BSVI),Manual (Regular),2nd Owner,Oct-26,9.70 Lakh,9.6,9.1,8.5,7.9,8.4
2021 MG Motors Hector Plus Sharp 2.0 Diesel Turbo MT 6-STR,Nov-21,51K km,Diesel (BSVI),Manual (Regular),1st Owner,Apr-27,14 Lakh,9.8,8.9,8.9,8.9,8.4
2025 Maruti Suzuki Fronx Alpha 1.0L Turbo 6 AT*,May-24,22K km,Petrol,Automatic (Torque Convertor),1st Owner,Nov-26,11.09 Lakh,9.9,9.7,9.8,9.6,8.9
2018 Renault Captur RXL Diesel*,Nov-17,95K km,Diesel (BSIV),Manual (Regular),1st Owner,Apr-27,5.98 Lakh,9.3,9.3,7.5,8.1,8.4
2022 Renault Kiger RXZ Turbo CVT Dual Tone,Jan-22,45K km,Petrol (BSVI),Automatic (CVT),1st Owner,Apr-27,7.55 Lakh,9.8,9.7,9.4,9.1,8.3
2023 Kia Seltos GTX Plus 1.5 Turbo Petrol DCT,Sep-23,37K km,Petrol,Automatic (DCT),1st Owner,Sep-26,16.58 Lakh,9.9,9.7,9.5,9,8.5
2024 Tata Punch Creative Flagship Dual Tone MT*,Dec-23,32K km,Petrol,Manual (Regular),1st Owner,Dec-26,8.14 Lakh,9.9,9.8,9.5,9,8.9
2020 MG Motors Hector Sharp Hybrid 1.5 Petrol,Oct-20,80K km,Hybrid (BSVI),Manual (Regular),2nd Owner,Apr-27,9.51 Lakh,9.7,9.5,8.2,8.8,8.1
2022 Mahindra XUV700 AX 7 Diesel MT Luxury Pack 7 STR,May-22,49K km,Diesel (BSVI),Manual (Regular),1st Owner,Jul-26,19.34 Lakh,9.8,9.7,8.3,8.4,7.7
2022 Maruti Suzuki Brezza ZXI AT,Jul-22,47K km,Petrol (BSVI),Automatic (Torque Convertor),1st Owner,Apr-27,10.14 Lakh,9.8,9.7,8.6,8.7,7.9
2023 Maruti Suzuki Brezza ZXi Plus,Feb-23,71K km,Petrol (BSVI),Manual (Regular),1st Owner,Apr-27,10.08 Lakh,9.7,9.5,9.1,8.6,8.3
2022 Renault Kiger RXZ Turbo CVT Dual Tone,Jun-22,29K km,Petrol (BSVI),Automatic (CVT),1st Owner,Apr-27,7.96 Lakh,9.8,9.7,9.2,8.9,8.5
2022 Maruti Suzuki Brezza ZXi Plus,Jun-22,55K km,Petrol (BSVI),Manual (Regular),2nd Owner,Oct-26,9.21 Lakh,9.8,9.6,9,8.6,8.3
2023 Mahindra XUV 300 W8 (O) 1.2 Petrol,Jul-23,28K km,Petrol (BSVI),Manual (Regular),1st Owner,Apr-27,9.90 Lakh,9.9,9.8,9.1,9.2,9
2018 Hyundai Creta SX 1.6 Petrol,Nov-18,49K km,Petrol (BSIV),Manual (Regular),2nd Owner,Nov-26,8.22 Lakh,9.8,9.6,9,8.5,8.6
2018 Hyundai Creta SX 1.6 Petrol,Aug-18,100K km,Petrol (BSIV),Manual (Regular),1st Owner,Apr-27,7.51 Lakh,9.6,9.3,8.6,8.5,8.5
2022 Tata Nexon XZA Plus (O) Diesel,Mar-22,32K km,Diesel (BSVI),Automatic (AMT),1st Owner,Apr-27,10.89 Lakh,9.9,9.7,9.3,8.6,8.5
2020 Maruti Suzuki Vitara Brezza ZXi Plus AT SHVS,Feb-20,68K km,Petrol,Automatic (Torque Convertor),1st Owner,Apr-27,8.19 Lakh,9.5,9.4,8.3,8.1,8.1
2021 Renault Kiger RXZ AMT Dual Tone,Feb-21,21K km,Petrol (BSVI),Automatic (AMT),1st Owner,Sep-26,6.17 Lakh,9.8,9.5,9.1,8.9,8.9
2022 Renault Kiger RXZ 1.0 Turbo MT Dual Tone,Jan-22,45K km,Petrol (BSVI),Manual (Regular),1st Owner,Apr-27,6.50 Lakh,9.8,9.7,9.1,9.2,8.3
2022 Volkswagen Taigun Highline 1.0 TSI MT,Jun-22,18K km,Petrol (BSVI),Manual (Regular),1st Owner,Apr-27,10.23 Lakh,9.9,9.9,9.4,9.2,9.1
2021 Maruti Suzuki Vitara Brezza VXi AT SHVS,Jun-21,37K km,Petrol (BSVI),Automatic (Torque Convertor),1st Owner,Apr-27,8.25 Lakh,9.8,9.7,8.7,8.3,8.1
2022 Maruti Suzuki Vitara Brezza ZXi Plus,Mar-22,41K km,Petrol (BSVI),Manual (Regular),1st Owner,Mar-27,8.80 Lakh,9.8,9.7,9,8.8,8.9
2017 Ford EcoSport Trend+ 1.5L TDCi,May-17,128K km,Diesel (BSIV),Manual (Regular),2nd Owner,Apr-27,5.21 Lakh,9.5,9,8.1,7.9,8.4
2025 Volkswagen Taigun Highline Plus 1.0 TSI MT*,Oct-24,11K km,Petrol,Manual (Regular),1st Owner,Apr-27,13.16 Lakh,9.9,9.9,9.5,9.1,9.2
2023 Kia Sonet HTX 1.0 DCT,Mar-23,50K km,Petrol,Automatic (DCT),1st Owner,Apr-27,9.70 Lakh,9.6,9.5,9.3,8.5,8.4
2020 Kia Seltos GTX Plus DCT 1.4,Jan-20,89K km,Petrol (BSVI),Automatic (DCT),2nd Owner,Apr-27,10.18 Lakh,9.7,9.1,8.7,8.7,8.4
2022 Nissan Magnite XV Premium Turbo CVT,Feb-22,54K km,Petrol (BSVI),Automatic (CVT),1st Owner,Apr-27,7.57 Lakh,9.8,9.5,8.8,8.8,8
2023 Hyundai Venue SX (O) 1.0 Turbo DCT,Jun-23,20K km,Petrol (BSVI),Automatic (DCT),1st Owner,Apr-27,11.31 Lakh,9.9,9.9,9.7,9.5,8.7
2022 Tata Punch Creative Dual Tone AMT,Jan-22,27K km,Petrol (BSVI),Automatic (AMT),1st Owner,Apr-27,7.59 Lakh,9.8,9.7,9.6,9.3,8.3
2023 Mahindra XUV700 AX 7 Luxury Pack Diesel AT 7 STR,Sep-23,98K km,Diesel,Automatic (Torque Convertor),1st Owner,Apr-27,19.71 Lakh,9.5,9.4,8.3,8.4,8
2023 Nissan Magnite XV Premium Turbo CVT,Aug-23,37K km,Petrol (BSIV),Automatic (CVT),1st Owner,Nov-26,8.58 Lakh,9.9,9.7,9.6,9.6,8.5
2020 Hyundai Creta SX (O) 1.4 Turbo 7 DCT,Sep-20,107K km,Petrol,Automatic (DCT),1st Owner,Apr-27,10.78 Lakh,9.6,9.2,8,8.3,7.5
2022 Mahindra XUV700 AX 5 Petrol AT 5 STR,Mar-22,113K km,Petrol (BSVI),Automatic (Torque Convertor),1st Owner,Apr-27,14.36 Lakh,9.6,9.1,8.5,8.5,8.2
2023 Hyundai Creta SX (O) 1.4 Turbo 7 DCT*,Dec-22,43K km,Petrol (BSVI),Automatic (DCT),1st Owner,Apr-27,14.49 Lakh,9.8,9.6,8.8,8.9,8.3
2018 Mahindra KUV100 NXT K2 6 STR,Jun-18,36K km,Petrol (BSIV),Manual (Regular),1st Owner,Apr-27,3.51 Lakh,9.7,9.3,7.8,8.6,8.2
2018 Maruti Suzuki S-Cross Zeta 1.3,Jul-18,66K km,Diesel (BSIV),Manual (Regular),1st Owner,Apr-27,7.35 Lakh,9.7,9.6,8.9,8.2,8
2020 Kia Seltos HTX 1.5,Aug-20,101K km,Petrol (BSVI),Manual (Regular),1st Owner,Oct-26,8.21 Lakh,9.4,9.3,8,7.6,8.2
2021 Mahindra XUV 300 W8 (O) 1.2 Petrol*,Oct-22,37K km,Petrol (BSIV),Manual (Regular),1st Owner,Apr-27,8.97 Lakh,9.9,9.8,9.2,8.4,8.9
2022 Hyundai Alcazar Signature (O) 7 Seater 1.5 Diesel AT,Mar-22,64K km,Diesel (BSIV),Automatic (Torque Convertor),1st Owner,Apr-27,15.37 Lakh,9.2,8.7,8.7,8.5,8.2
2023 Maruti Suzuki Grand Vitara Alpha Smart Hybrid AllGrip*,Oct-22,59K km,Petrol (BSVI),Manual (Regular),2nd Owner,Apr-27,12.14 Lakh,9.8,9.6,9,9.2,8.5
2023 Hyundai Alcazar Platinum 7 STR 1.5 Diesel,May-23,25K km,Diesel,Manual (Regular),1st Owner,Apr-27,16.73 Lakh,9.9,9.7,9.6,9.5,9
2020 MG Motors Hector Sharp 2.0 Diesel,May-20,93K km,Diesel (BSVI),Manual (Regular),1st Owner,Apr-27,10.74 Lakh,9.5,9.1,8.7,8.5,7.3
2021 Hyundai Creta SX (O) 1.4 Turbo 7 DCT,Apr-21,54K km,Petrol,Automatic (DCT),1st Owner,Apr-27,13.41 Lakh,9.8,9.5,8,8.1,8.1
2016 Hyundai Creta 1.6 SX Plus Petrol,Mar-16,112K km,Petrol (BSIV),Manual (Regular),1st Owner,Apr-27,6.54 Lakh,9.6,9.1,7.9,7.7,8.9
2022 Hyundai Creta SX 1.5 Petrol IVT,Aug-22,93K km,Petrol (BSVI),Automatic (CVT),1st Owner,Apr-27,11.84 Lakh,9.7,9.4,8.9,8.7,8.2
2022 Kia Seltos GTX Plus 1.4 DCT,Jul-22,47K km,Petrol (BSIV),Automatic (DCT),1st Owner,Oct-26,13.83 Lakh,9.8,9.6,9.3,8.8,8.2
2021 Ford EcoSport Titanium Plus 1.5L Ti-VCT AT,Jan-21,61K km,Petrol (BSVI),Automatic (Torque Convertor),1st Owner,Apr-27,8.23 Lakh,9.8,9.6,9,8.9,7.9
2023 Kia Sonet X Line 1.5 Diesel AT,Jun-23,35K km,Diesel (BSVI),Automatic (Torque Convertor),1st Owner,Apr-27,12.92 Lakh,9.8,9.8,9.3,9.3,8.8
2021 MG Motors Hector Plus Sharp 2.0 Diesel*,Oct-20,57K km,Diesel (BSVI),Manual (Regular),1st Owner,Dec-26,12.33 Lakh,9.8,9.4,9.2,9,8.5
2022 Honda WR-V VX MT Petrol,Sep-22,21K km,Petrol (BSVI),Manual (Regular),1st Owner,Jan-27,7.82 Lakh,9.9,9.8,9,9,8.8
2023 Nissan Magnite XV Premium Dual Tone,Jan-23,70K km,Petrol (BSVI),Manual (Regular),1st Owner,Apr-27,6.40 Lakh,9.7,9.3,8.2,8.5,7.9
2016 Maruti Suzuki S-Cross Alpha 1.6,May-16,100K km,Diesel (BSIV),Manual (Regular),2nd Owner,Apr-27,5.79 Lakh,9.5,9.1,7.7,7.8,8.4
2018 Mahindra XUV500 W11 AT,May-18,102K km,Diesel (BSIV),Automatic (Torque Convertor),1st Owner,Apr-27,11.45 Lakh,9.3,9.2,8.1,7.6,7.6
2023 Skoda Kushaq Ambition 1.0L TSI MT,Jan-23,25K km,Petrol (BSVI),Manual (Regular),2nd Owner,Apr-27,10.10 Lakh,9.9,9.8,9.4,9.4,9
2017 Hyundai Creta SX Plus 1.6 Petrol,Sep-17,123K km,Petrol,Manual (Regular),1st Owner,Apr-27,6.65 Lakh,9.5,9.1,7.6,7.7,8.8
2025 Renault Kiger RXZ Turbo CVT Dual Tone*,Oct-22,23K km,Petrol (BSVI),Automatic (CVT),1st Owner,Apr-27,7.55 Lakh,9.3,9.6,9.2,9.5,8
2023 Maruti Suzuki Brezza Zxi Plus AT Dual Tone,Jun-23,41K km,Petrol (BSVI),Automatic (Torque Convertor),1st Owner,Apr-27,11.33 Lakh,9.8,9.6,9.2,9.1,8.3
2023 Hyundai Creta EX 1.5 Petrol,Sep-23,15K km,Petrol,Manual (Regular),1st Owner,Apr-27,11.08 Lakh,9.9,9.9,9.5,9.4,9.3
2013 Ford EcoSport Ambiente 1.5 TDCi,Jul-13,117K km,Diesel (BSIV),Manual (Regular),1st Owner,Apr-27,3.88 Lakh,9.4,8.9,8,7.7,8.7
2024 Mahindra Thar LX Hard Top Diesel MT 4WD,Feb-24,15K km,Diesel (BSIV),Manual (Regular),1st Owner,Feb-27,15.40 Lakh,9.9,9.9,9.7,9.5,9.4
2023 Kia Sonet HTX 1.5 Diesel iMT,Apr-23,28K km,Diesel (BSVI),Manual (Regular),1st Owner,Apr-27,9.89 Lakh,9.9,9.8,9.6,9.3,9.1
2024 Maruti Suzuki Grand Vitara Zeta Plus Intelligent Hybrid eCVT,Feb-24,24K km,Hybrid (BSVI),Automatic (CVT),1st Owner,Apr-27,16.56 Lakh,9.9,9.7,9.7,9.1,8.9
2023 Mahindra Scorpio N Z8 L Petrol AT 7 STR,Feb-23,55K km,Petrol (BSIV),Automatic (Torque Convertor),1st Owner,Apr-27,18.21 Lakh,9.8,9.6,9.4,9.1,8.1
2023 MG Motors Hector Plus Sharp Pro 2.0 Turbo Diesel 6 STR,Jan-23,26K km,Diesel (BSVI),Manual (Regular),1st Owner,Apr-27,18.55 Lakh,9.9,9.8,9.6,9.5,8.8
2023 Hyundai Alcazar Signature (O) 6 STR 1.5 Petrol DCT,Apr-23,30K km,Petrol (BSVI),Automatic (DCT),1st Owner,Apr-27,17.91 Lakh,9.9,9.7,9.4,9.1,8.6
2021 Skoda Kushaq Ambition 1.0L TSI AT,Aug-21,112K km,Petrol (BSIV),Automatic (Torque Convertor),1st Owner,Apr-27,9.05 Lakh,9.6,9.2,8.1,8.2,8.2
2021 Mahindra XUV700 AX 5 Petrol AT 5 STR,Oct-21,95K km,Petrol (BSVI),Automatic (Torque Convertor),1st Owner,Nov-26,13.52 Lakh,9.7,9.3,8.5,8.5,8.8
2022 Renault Kiger RXZ AMT,Jan-22,89K km,Petrol (BSVI),Automatic (AMT),1st Owner,Aug-26,5.57 Lakh,9.4,8.9,8.6,8.8,8.5
2023 Mahindra XUV700 AX 5 Diesel MT 5 STR,May-23,54K km,Diesel,Manual (Regular),1st Owner,Apr-27,15.97 Lakh,9.8,9.6,9.2,9.1,8.7
2022 Hyundai Tucson Signature 2.0 AT Petrol,Nov-22,19K km,Petrol (BSVI),Automatic (Torque Convertor),1st Owner,Apr-27,24.51 Lakh,9.9,9.9,9.7,9.5,8.8
2022 Tata Punch Creative Dual Tone AMT,Aug-22,16K km,Petrol (BSVI),Automatic (AMT),1st Owner,Feb-27,7.70 Lakh,9.9,9.8,9.2,9.5,9.3
2020 MG Motors Hector Super 1.5 Petrol*,Nov-19,45K km,Petrol (BSVI),Manual (Regular),1st Owner,Apr-27,10.11 Lakh,9.8,9.5,9.2,8.6,8.5
2022 Kia Seltos GTX Plus 1.5 Diesel AT Dual Tone,Jan-22,58K km,Diesel (BSVI),Automatic (Torque Convertor),1st Owner,Apr-27,14.59 Lakh,9.6,9.2,8.7,9,8.4
2023 Renault Kiger RXZ MT,Feb-23,21K km,Petrol,Manual (Regular),1st Owner,Apr-27,6.52 Lakh,9.8,9.7,9.6,9.1,8.9
2020 Renault Duster RXZ Turbo Petrol,Oct-20,46K km,Petrol (BSVI),Manual (Regular),1st Owner,Apr-27,7.48 Lakh,9.8,9.7,9,8.9,8.6
2018 Maruti Suzuki Vitara Brezza ZDi AGS,Sep-18,125K km,Diesel (BSIV),Automatic (AMT),1st Owner,Apr-27,6.31 Lakh,9.1,7.7,7.4,7.8,8
2016 Maruti Suzuki S-Cross Delta 1.6*,Jul-15,131K km,Diesel (BSIV),Manual (Regular),2nd Owner,Apr-27,4.45 Lakh,9,8.8,7.7,6.9,8.4
2023 Mahindra Thar LX Hard Top Diesel AT 4WD,Jan-23,44K km,Diesel (BSVI),Automatic (Torque Convertor),1st Owner,Apr-27,13.71 Lakh,9.8,9.7,9.4,9.5,8.5
2017 Hyundai Creta 1.6 SX Plus Auto Petrol*,Oct-16,110K km,Petrol (BSIV),Automatic (Torque Convertor),1st Owner,Apr-27,7.32 Lakh,9.5,9,8.5,8,8.1
2019 Honda WR-V VX i-VTEC Petrol+cng(Outside Fitted),Feb-19,46K km,Cng (BSIV),Manual (Regular),1st Owner,Apr-27,6.31 Lakh,9.8,9.5,8.7,8.6,8
2018 Mahindra TUV300 T4 Plus,Aug-18,95K km,Diesel (BSIV),Manual (Regular),1st Owner,Apr-27,5.74 Lakh,9.7,9.4,8.7,8.9,8.8
2024 Hyundai Creta S Plus 1.5 Diesel Knight*,Nov-23,26K km,Diesel (BSVI),Manual (Regular),1st Owner,Apr-27,14.36 Lakh,9.9,9.8,9.3,9.4,8.8
2024 Tata Nexon EV Empowered Plus Long Range,Jan-24,19K km,Electric (BSVI),Automatic,1st Owner,Apr-27,11.59 Lakh,N/A,N/A,N/A,N/A,N/A
2022 Kia Sonet Anniversary Edition 1.5 AT*,Dec-21,46K km,Diesel (BSVI),Automatic (Torque Convertor),1st Owner,Dec-26,9.87 Lakh,9.8,8.6,9.1,7.6,8.1
2022 Maruti Suzuki Brezza Zxi Dual Tone,Sep-22,40K km,Petrol (BSVI),Manual (Regular),1st Owner,Apr-27,9.01 Lakh,9.8,9.7,9.2,9.1,8.6
2019 Hyundai Venue SX Plus 1.0 Turbo DCT,Sep-19,66K km,Petrol (BSIV),Automatic (DCT),1st Owner,Sep-26,7.69 Lakh,9.8,9.5,7.8,8.1,8
2025 Tata Punch EV Empowered Plus S long Range*,Dec-24,27K km,Electric,Automatic,1st Owner,Apr-27,9.41 Lakh,N/A,N/A,N/A,N/A,N/A
2019 Ford EcoSport Titanium 1.5L TDCi,May-19,105K km,Diesel (BSIV),Manual (Regular),3rd Owner,Apr-27,5.19 Lakh,9.2,8.8,8.6,8.3,7.5
2021 Mahindra Thar LX Hard Top Diesel MT 4WD,Apr-21,52K km,Diesel (BSIV),Manual (Regular),1st Owner,Apr-27,11.39 Lakh,9.8,9.7,9.1,8.8,8.5
2019 Tata Nexon XZ Plus Diesel Dual Tone,Jan-19,59K km,Diesel (BSIV),Manual (Regular),1st Owner,Apr-27,7.30 Lakh,9.7,9.2,8.5,8.4,8.3
2023 Kia Sonet HTX 1.0 Turbo Petrol DCT,Sep-23,15K km,Petrol (BSVI),Automatic (DCT),2nd Owner,Oct-26,9.97 Lakh,9.9,9.8,9.4,8.9,8.7
2022 Tata Nexon EV XZ Plus LUX*,Oct-21,86K km,Electric (BSIV),Automatic,1st Owner,,7.91 Lakh,N/A,N/A,N/A,N/A,N/A
2022 Kia Seltos HTX Plus 1.5 Diesel,Jan-22,103K km,Diesel (BSVI),Manual (Regular),1st Owner,Jan-27,12.07 Lakh,9.5,9.2,8.2,8.1,8.2
2022 Mahindra XUV700 AX 7 Diesel MT Luxury Pack 7 STR,Feb-22,72K km,Diesel (BSVI),Manual (Regular),1st Owner,Apr-27,18.32 Lakh,9.7,9.5,9.1,8.9,8.7
2023 Tata Punch Creative AMT*,Nov-22,50K km,Petrol (BSVI),Automatic (AMT),1st Owner,Jan-27,6.78 Lakh,9.7,9.6,9.1,9,7.9
2021 Mahindra Thar LX Hard Top Diesel AT 4WD,Apr-21,60K km,Diesel (BSVI),Automatic (Torque Convertor),2nd Owner,Apr-27,11.72 Lakh,9.6,9.6,9,8.4,7.8
2018 Ford EcoSport Trend 1.5L TDCi,Oct-18,53K km,Diesel,Manual (Regular),1st Owner,Jan-27,6.59 Lakh,9.8,9.6,9,9,8.6
2014 Ford EcoSport Trend 1.5 TDCi*,Dec-13,129K km,Diesel (BSIV),Manual (Regular),3rd Owner,Apr-27,3.06 Lakh,9.5,8.3,7.3,7.2,7.4
2020 Hyundai Venue SX Plus 1.0 Turbo DCT*,Nov-19,65K km,Petrol (BSIV),Automatic (DCT),1st Owner,Dec-26,7.44 Lakh,9.7,9.6,8.9,8.2,7.8
2024 Hyundai Creta 1.5 MPi Petrol MT EX,Aug-24,11K km,Petrol (BSVI),Manual (Regular),1st Owner,Oct-26,11.50 Lakh,9.9,9.9,9.5,9,9.5
2021 Tata Nexon XE,Jun-21,58K km,Petrol,Manual (Regular),1st Owner,Apr-27,5.40 Lakh,9.2,9.1,8.3,8.1,8.5
2021 Hyundai Alcazar Signature (O) 6 STR 1.5 Diesel AT,Jul-21,67K km,Diesel (BSVI),Automatic (Torque Convertor),1st Owner,Aug-26,14.46 Lakh,9.6,9.5,8.9,8.3,8.1
2021 Nissan Magnite XV Dual Tone,May-21,28K km,Petrol (BSVI),Manual (Regular),2nd Owner,Apr-27,5.54 Lakh,9.9,9.8,9.4,8.7,8.7
2022 Hyundai Venue SX 1.2 Petrol,Jun-22,27K km,Petrol (BSVI),Manual (Regular),1st Owner,Apr-27,8.69 Lakh,9.9,9.8,9.1,9,8.6
2020 Kia Seltos GTX Plus AT 1.5 Diesel,Jan-20,66K km,Diesel (BSVI),Automatic (Torque Convertor),1st Owner,Feb-27,13.02 Lakh,9.6,9.5,8.9,8.2,8.3
2022 Mahindra Thar LX Hard Top Diesel AT 4WD,Jul-22,70K km,Diesel (BSVI),Automatic (Torque Convertor),1st Owner,Apr-27,12.69 Lakh,9.7,9.5,9.2,9.2,7.8
2020 MG Motors Hector Sharp 1.5 DCT Petrol,Mar-20,41K km,Petrol (BSVI),Automatic (DCT),1st Owner,Apr-27,11.73 Lakh,9.8,9.7,9,9,8.2
2016 Ford EcoSport Trend 1.5 TDCi*,Aug-15,97K km,Diesel (BSIV),Manual (Regular),2nd Owner,Dec-26,4.38 Lakh,9.6,9.2,8.1,8.2,8.2
2020 Kia Sonet GTX Plus 1.0 DCT,Nov-20,38K km,Petrol (BSVI),Automatic (DCT),1st Owner,Dec-26,9.33 Lakh,9.8,9.7,9,8.5,8.5
