Brand,Model,Car_Age,Kilometers_Driven,Fuel_Type,Transmission,Owner_Count,Price,Estimated_Original_Price,Core_Systems_Score,Supporting_Systems_Score,Interiors_AC_Score,Exteriors_Lights_Score,Wear_Tear_Parts_Score,Depreciation_Percent,Price_Lost_Per_Year,Km_Per_Year,Ownership_Impact,Luxury_Score,Wear_Price_Ratio,Total_Feature_Score
Kia,Seltos 1.4,6,103000,Petrol,Automatic (Dct),1,1079000,1729000,9.6,9.2,8.1,8.4,8.3,37.59398496240601,108333.33333333333,17166.666666666668,6,8.825,7.692307692307694e-06,43.599999999999994
Kia,Seltos 1.4,5,72000,Petrol,Automatic (Dct),1,1196000,1729000,9.7,9.4,8.9,8.8,7.8,30.82706766917293,106600.0,14400.0,5,9.2,6.521739130434782e-06,44.599999999999994
Kia,Seltos 1.4,6,110000,Petrol,Automatic (Dct),2,1008000,1729000,9.6,9.2,8.7,8.0,7.8,41.70040485829959,120166.66666666667,18333.333333333332,12,8.875,7.738095238095238e-06,43.3
Kia,Seltos 1.4,5,103000,Petrol,Automatic (Dct),1,1086000,1749000,9.6,8.5,8.3,8.3,7.9,37.9073756432247,132600.0,20600.0,5,8.675,7.274401473296501e-06,42.6
Kia,Seltos 1.4,6,92000,Petrol,Automatic (Dct),1,1083000,1729000,9.7,9.3,8.6,8.1,8.2,37.362637362637365,107666.66666666667,15333.333333333334,6,8.925,7.571560480147737e-06,43.900000000000006
Kia,Sonet 1.5,5,30000,Diesel,Manual (Regular),1,1030000,1284000,9.9,9.0,9.2,8.9,8.8,19.781931464174455,50800.0,6000.0,5,9.25,8.54368932038835e-06,45.8
Nissan,Magnite Xv,3,29000,Petrol,Automatic (Cvt),1,892000,1091000,9.9,9.8,9.1,8.6,8.6,18.240146654445464,66333.33333333333,9666.666666666666,3,9.350000000000001,9.641255605381165e-06,46.00000000000001
Kia,Seltos 1.5 Ivt,4,54000,Petrol,Automatic (Cvt),1,1261000,1499000,9.8,9.6,9.1,8.9,8.2,15.877251501000666,59500.0,13500.0,4,9.35,6.502775574940523e-06,45.599999999999994
Mg,Motors Hector Sharp 2.0,4,35000,Diesel,Manual (Regular),1,1540000,1998800,9.9,9.5,9.1,9.2,8.2,22.953772263358015,114700.0,8750.0,4,9.425,5.324675324675324e-06,45.900000000000006
Mg,Motors Hector Sharp 1.5,5,50000,Petrol,Automatic (Cvt),1,1344000,1658800,9.8,9.5,8.9,8.5,8.3,18.977574149987944,62960.0,10000.0,5,9.175,6.175595238095238e-06,45.0
Bmw,X1 Sdrive18D M Sport*,3,23000,Diesel,Automatic (Dct),1,4550000,4890000,9.9,9.8,9.3,9.3,8.6,6.952965235173824,113333.33333333333,7666.666666666667,3,9.575000000000001,1.89010989010989e-06,46.900000000000006
Volkswagen,Taigun Topline 1.0 Tsi,4,120000,Petrol,Manual (Regular),1,1104000,1539900,9.6,8.9,7.9,7.9,8.4,28.307032924215857,108975.0,30000.0,4,8.575,7.608695652173913e-06,42.699999999999996
Kia,Sonet 1.5,5,44000,Diesel,Automatic (Torque Convertor),1,916000,1039000,9.7,9.5,8.9,8.6,7.8,11.838306063522618,24600.0,8800.0,5,9.175,8.51528384279476e-06,44.5
Kia,Sonet 1.0,3,35000,Petrol,Automatic (Dct),1,1181000,1377000,9.9,9.7,9.3,9.4,8.2,14.233841684822076,65333.333333333336,11666.666666666666,3,9.575000000000001,6.943268416596104e-06,46.5
Kia,Seltos 1.4,5,82000,Petrol,Automatic (Dct),1,1155000,1729000,9.7,9.4,8.1,8.7,7.8,33.198380566801625,114800.0,16400.0,5,8.975000000000001,6.753246753246753e-06,43.7
Tata,Nexon Fearless 1.2 Revotron 6Mt,3,28000,Petrol,Manual (Regular),1,1040000,1260000,9.9,9.8,8.6,9.4,9.0,17.46031746031746,73333.33333333333,9333.333333333334,3,9.425,8.653846153846155e-06,46.7
Ford,Ecosport Titanium+ 1.5L,10,132000,Diesel,Manual (Regular),1,547000,1020000,9.1,8.4,7.2,7.9,8.0,46.372549019607845,47300.0,13200.0,10,8.15,1.4625228519195613e-05,40.6
Tata,Nexon (S),6,71000,Diesel,Automatic (Amt),2,700000,999000,9.7,9.5,9.0,8.8,8.4,29.929929929929934,49833.333333333336,11833.333333333334,12,9.25,1.2e-05,45.4
Tata,Nexon Dual Tone,4,41000,Petrol,Automatic (Amt),1,1000000,1170900,9.8,9.6,9.1,8.5,8.0,14.595610214365017,42725.0,10250.0,4,9.25,8e-06,45.0
Kia,Seltos 1.5,3,49000,Petrol,Manual (Regular),1,1270000,1519900,9.8,9.7,9.1,8.648275862,10.0,16.441871175735244,83300.0,16333.333333333334,3,9.3120689655,7.874015748031496e-06,47.248275862
Kia,Seltos 1.4,6,80000,Petrol,Automatic (Dct),2,1030000,1729000,9.7,9.5,9.0,8.8,8.7,40.42799305957201,116500.0,13333.333333333334,12,9.25,8.446601941747573e-06,45.7
Volkswagen,Taigun Topline 1.0 Tsi Mt*,4,74000,Petrol,Manual (Regular),1,1019000,1540900,9.7,9.4,9.1,8.1,8.2,33.86981634109936,130475.0,18500.0,4,9.075000000000001,8.04710500490677e-06,44.5
Hyundai,Creta 1.5 Ivt,4,102000,Petrol,Automatic (Cvt),1,1191000,1633000,9.6,9.3,8.6,8.4,8.0,27.066748315982853,110500.0,25500.0,4,8.975,6.717044500419815e-06,43.9
Volkswagen,Taigun Topline 1.0 Tsi Mt*,4,50000,Petrol,Manual (Regular),1,1065000,1559900,9.6,9.7,8.7,9.1,8.5,31.72639271748189,123725.0,12500.0,4,9.274999999999999,7.981220657276995e-06,45.599999999999994
