Brand,Model,Car_Age,Kilometers_Driven,Fuel_Type,Transmission,Owner_Count,Price,Estimated_Original_Price,Core_Systems_Score,Supporting_Systems_Score,Interiors_AC_Score,Exteriors_Lights_Score,Wear_Tear_Parts_Score
Tata,Nexon Fearless 1.2 Revotron 6Mt,3,28000.0,Petrol,Manual (Regular),1.0,1040000.0,1260000,9.9,9.8,8.6,9.4,9.0
Ford,Ecosport Titanium+ 1.5L,10,132000.0,Diesel,Manual (Regular),1.0,547000.0,1020000,9.1,8.4,7.2,7.9,8.0
Tata,Nexon (S),6,71000.0,Diesel,Automatic (Amt),2.0,700000.0,999000,9.7,9.5,9.0,8.8,8.4
Tata,Nexon Dual Tone,4,41000.0,Petrol,Automatic (Amt),1.0,1000000.0,1170900,9.8,9.6,9.1,8.5,8.0
Kia,Seltos 1.5,3,49000.0,Petrol,Manual (Regular),1.0,1270000.0,1519900,9.8,9.7,9.1,8.648275862068967,10.0
Kia,Seltos 1.4,6,80000.0,Petrol,Automatic (Dct),2.0,1030000.0000000001,1729000,9.7,9.5,9.0,8.8,8.7
Volkswagen,Taigun Topline 1.0 Tsi Mt*,4,74000.0,Petrol,Manual (Regular),1.0,1019000.0,1540900,9.7,9.4,9.1,8.1,8.2
Hyundai,Creta 1.5 Ivt,4,102000.0,Petrol,Automatic (Cvt),1.0,1191000.0,1633000,9.6,9.3,8.6,8.4,8.0
Volkswagen,Taigun Topline 1.0 Tsi Mt*,4,50000.0,Petrol,Manual (Regular),1.0,1065000.0,1559900,9.6,9.7,8.7,9.1,8.5
Kia,Seltos 1.5,6,120000.0,Diesel,Automatic (Torque Convertor),2.0,1080000.0,1649000,9.6,9.1,7.6,8.1,8.5
Kia,Seltos 1.5,6,66000.0,Petrol,Manual (Regular),1.0,1006000.0,1334000,9.8,9.6,8.9,8.9,8.3
Kia,Seltos 1.4,7,106000.0,Petrol,Automatic (Dct),1.0,1005000.0000000001,1669000,9.6,9.2,8.2,8.0,7.4
Mg,Motors Hector Sharp 1.5,4,64000.0,Petrol,Automatic (Cvt),1.0,1374000.0,1988800,9.8,9.6,9.3,9.3,8.3
Maruti,Suzuki Fronx 1.0L 6,3,88000.0,Petrol,Automatic (Torque Convertor),1.0,947000.0000000001,1314000,9.7,9.4,8.5,7.9,7.3
Kia,Seltos 1.5,5,120000.0,Diesel,Automatic (Torque Convertor),1.0,1243000.0,1749000,9.5,8.5,8.2,8.7,8.6
Volkswagen,Taigun Highline 1.0 Tsi,4,62000.0,Petrol,Manual (Regular),1.0,949000.0,1549900,9.8,9.6,9.1,8.8,8.3
Volkswagen,Taigun Topline 1.0 Tsi Mt*,5,120000.0,Petrol,Manual (Regular),1.0,947000.0000000001,1549900,9.3,9.2,7.6,8.1,7.4
Hyundai,Creta 1.5,6,52000.0,Diesel,Manual (Regular),2.0,1246000.0,1720000,9.7,9.5,9.3,8.9,8.5
Ford,Ecosport Titanium 1.5L Ti-Vct,10,111000.0,Petrol,Manual (Regular),1.0,509000.0,948500,9.6,9.2,8.3,8.1,8.6
Kia,Seltos 1.5*,4,47000.0,Petrol,Manual (Regular),1.0,1192000.0,1449000,9.8,9.6,8.9,8.6,8.4
Kia,Seltos 1.5,4,49000.0,Diesel,Automatic (Torque Convertor),2.0,1444000.0,1545000,9.8,9.6,9.4,9.1,8.2
Hyundai,Venue 1.2,1,6000.0,Petrol,Manual (Regular),1.0,1124000.0,1113000,10.0,10.0,9.9,9.7,9.6
Maruti,Suzuki S-Cross 1.3,9,95000.0,Diesel,Manual (Regular),1.0,581000.0,1045000,9.3,9.4,8.2,8.1,8.0
Nissan,Magnite Xv,4,32000.0,Petrol,Automatic (Cvt),1.0,807000.0,1000000,9.9,9.7,9.5,8.7,8.7
Kia,Sonet 1.2,3,11000.0,Petrol,Manual (Regular),1.0,846000.0000000001,989000,9.9,9.9,9.8,9.6,9.4
Maruti,Suzuki Vitara Brezza Zdi+ Dual Tone,9,105000.0,Diesel,Manual (Regular),1.0,686000.0,991000,9.6,9.3,8.3,7.7,8.1
Kia,Sonet 1.5,5,46000.0,Diesel,Manual (Regular),1.0,917000.0,1039000,9.7,9.5,8.8,9.0,8.2
Hyundai,Alcazar Signature 6 Str 1.5 Diesel*,4,70000.0,Diesel,Manual (Regular),1.0,1451000.0,1965000,9.7,9.1,9.0,9.0,8.5
Kia,Seltos 1.5 Ivt,5,84000.0,Petrol,Automatic (Cvt),2.0,980000.0000000001,1449000,9.7,9.4,8.7,8.4,7.4
Kia,Seltos 1.4,4,41000.0,Petrol,Automatic (Dct),1.0,1420000.0,1749000,9.6,9.6,9.4,8.8,8.0
Mahindra,Xuv500 W11,8,76000.0,Diesel,Automatic (Torque Convertor),1.0,1191000.0,1898000,9.3,9.5,8.3,8.6,8.3
Ford,Ecosport Titanium 1.5,11,146000.0,Diesel,Manual (Regular),1.0,474000.0,986000,9.4,9.0,8.0,7.7,8.4
Maruti,Suzuki Brezza Plus*,3,20000.0,Petrol,Manual (Regular),2.0,1040000.0,1258000,9.9,9.9,9.7,9.5,9.3
Kia,Sonet 1.0,6,43000.0,Petrol,Automatic (Dct),1.0,935000.0,1289000,9.7,9.7,9.0,8.8,8.5
Kia,Sonet Anniversary 1.5,4,69000.0,Diesel,Manual (Regular),1.0,900000.0,1165000,9.6,9.4,8.7,8.4,8.0
Kia,Seltos 1.4*,7,109000.0,Petrol,Automatic (Dct),2.0,951000.0,1669000,9.6,8.8,7.8,8.1,8.0
Kia,Seltos 1.4*,7,90000.0,Petrol,Automatic (Dct),1.0,1049000.0,1669000,9.7,9.3,7.7,8.0,8.1
Renault,Duster 110 Ps 4X2,8,86000.0,Diesel,Manual (Regular),1.0,655000.0,1279000,9.6,9.2,8.3,8.6,8.2
Kia,Seltos 1.4,7,64000.0,Petrol,Manual (Regular),1.0,1070000.0,1669000,9.8,9.4,9.0,8.6,8.0
Mg,Motors Hector Sharp 1.5 6-Str,4,62000.0,Petrol,Automatic (Dct),1.0,1446000.0,2130800,9.7,9.3,8.9,8.1,8.4
Maruti,Suzuki Fronx 1.0L Mt*,3,12000.0,Petrol,Manual (Regular),1.0,998000.0,1297000,9.9,9.9,9.8,9.2,9.2
Hyundai,Creta 1.6 Crdi*,8,92000.0,Diesel,Automatic (Torque Convertor),1.0,997000.0000000001,1503997,9.5,8.9,8.3,7.7,8.0
Kia,Seltos 1.5,6,46000.0,Petrol,Manual (Regular),1.0,1011999.9999999999,1329000,9.8,9.6,8.6,8.4,8.3
Kia,Seltos 1.4,3,49000.0,Petrol,Manual (Regular),1.0,1449000.0,1945000,9.8,9.7,9.1,8.4,8.2
Volkswagen,Taigun Highline 1.0 Tsi,4,64000.0,Petrol,Manual (Regular),1.0,947000.0000000001,1456900,9.8,9.6,9.2,8.5,8.4
Kia,Seltos 1.4 Dual Tone,7,37000.0,Petrol,Automatic (Dct),1.0,1120000.0,1669000,9.9,9.6,8.7,8.1,7.9
Hyundai,Creta 1.6,8,48000.0,Petrol,Manual (Regular),1.0,949000.0,1358000,9.8,9.7,8.8,8.4,8.2
